id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
bitcoin,1,BTC,Bitcoin,19474968.0000000000000000,21000000.0000000000000000,506039647464.7235057699069280,1733082959.3675299532894548,25984.1067499943263460,0.6181623819875140,25899.1540423834488251,https://blockchain.info/
ethereum,2,ETH,Ethereum,120216736.7246998400000000,,197028861713.7703194433852728,818617657.7187009914339241,1638.9470142162708566,0.3321611147466232,1637.9153417249359762,https://etherscan.io/
tether,3,USDT,Tether,82900167311.5606500000000000,,83109724857.2153952435745551,4085479014.5090224488464338,1.0025278301896204,0.1933904536172116,1.0008722341723869,https://www.omniexplorer.info/asset/31
binance-coin,4,BNB,BNB,166801148.0000000000000000,166801148.0000000000000000,35850703525.3857164085675560,83593480.2846782929623651,214.9307960721332470,0.2179891461327151,214.5344639742497634,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52
usd-coin,5,USDC,USD Coin,26156466703.1374200000000000,,26222954668.5753051738885630,180126141.0219507565962988,1.0025419322186169,0.1532955615090815,1.0012456663528336,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
xrp,6,XRP,XRP,45404028640.0000000000000000,100000000000.0000000000000000,22901905412.9814435581510880,239404430.6340613398751716,0.5044024968481617,1.4247718198806899,0.4996222256681725,https://xrpcharts.ripple.com/#/graph/
cardano,7,ADA,Cardano,35077965028.6190000000000000,45000000000.0000000000000000,8977093696.5692883621699547,38954794.6361982066604954,0.2559183147952044,0.0088749925397164,0.2558796810296647,https://cardanoexplorer.com/
dogecoin,8,DOGE,Dogecoin,140851916383.7052600000000000,,8968913819.0512429232977078,86631228.2723748010819904,0.0636761930495738,0.2824153897352412,0.0636619392449972,http://dogechain.info/chain/Dogecoin
solana,9,SOL,Solana,408701806.4266925000000000,,7970484691.3648298613106565,35513095.9041944979741059,19.5019561108655621,-0.6260616302626628,19.5044705180908437,https://explorer.solana.com/
tron,10,TRX,TRON,89308819023.9703400000000000,,6890700936.4975123165885441,34931817.4308732515976797,0.0771558846237577,1.0168710552349484,0.0770125891331327,https://tronscan.org/#/
polkadot,11,DOT,Polkadot,1270932860.9488800000000000,,5453254144.0940773203880392,24732299.0572963082811377,4.2907491903409211,1.0856609373412552,4.2582258624066536,https://polkascan.io/polkadot
multi-collateral-dai,12,DAI,Multi Collateral DAI,5347888595.7464075000000000,,5357689900.4385678434754923,5364406.8059081170114526,1.0018327428697666,0.1627413248860967,1.0006378726976757,https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
polygon,13,MATIC,Polygon,9319469069.2849300000000000,10000000000.0000000000000000,5074205857.0225595113503745,44368201.7055223394905070,0.5444737054545422,0.3687814790051603,0.5422334062203014,https://etherscan.io/token/0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
litecoin,14,LTC,Litecoin,73612020.4774352800000000,84000000.0000000000000000,4755790467.8946033212009274,76058598.2896213522787501,64.6061667245286846,1.3783236030020069,64.3759062960265107,http://explorer.litecoin.net/chain/Litecoin
shiba-inu,15,SHIB,Shiba Inu,589346914631298.1000000000000000,,4624463943.5426214857593039,17915082.4733690542491747,0.0000078467602506,-0.9284652717398359,0.0000078670280114,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
wrapped-bitcoin,16,WBTC,Wrapped Bitcoin,162974.7617526900000000,,4235040080.8330461527037749,2168857.7467008793366720,25985.8645307278332445,0.6131494822517349,25920.3421630955737237,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
bitcoin-cash,17,BCH,Bitcoin Cash,19493825.0000000000000000,21000000.0000000000000000,3830679651.2876742869959200,26817942.7088167371823482,196.5073376460327456,-1.4903707320748889,196.9955087871374842,https://blockchair.com/bitcoin-cash/blocks
unus-sed-leo,18,LEO,UNUS SED LEO,929430965.9000000000000000,,3630636686.6336542932742066,120198.4104453447750173,3.9063005428466479,-0.0443220063839749,3.9038553688891801,https://eospark.com/account/bitfinexleo1
avalanche,19,AVAX,Avalanche,353559620.6095795000000000,720000000.0000000000000000,3516992023.8374451169239343,12764168.5122666702043275,9.9473803534852933,0.3538313509603593,9.8924491841816974,https://avascan.info/
trueusd,20,TUSD,TrueUSD,3447761055.7999997000000000,,3451613041.9245821172301327,191924582.8863038983108019,1.0011172427735682,0.2346866413828016,0.9996770563123976,https://etherscan.io/token/0x8dd5fbce2f6a956c3022ba3663759011dd51e73e
chainlink,21,LINK,Chainlink,538099970.4527867000000000,1000000000.0000000000000000,3238739834.0617613344045346,39186029.4935054466784315,6.0188441031440845,1.2974745703109621,5.9785222116668291,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca
stellar,22,XLM,Stellar,27464250616.9235150000000000,50001806812.0000000000000000,3135263664.0215697420266741,34840527.7624551188092825,0.1141579906094221,0.6522495537820655,0.1132701573793684,https://dashboard.stellar.org/
binance-usd,23,BUSD,Binance USD,2864514304.3890970000000000,,2871985156.4104477313546925,141636917.6325883472666352,1.0026080693714476,0.1654260072413655,1.0014124500645443,https://etherscan.io/token/0x4Fabb145d64652a948d72533023f6E7A623C7C53
uniswap,24,UNI,Uniswap,577501031.0000000000000000,1000000000.0000000000000000,2565344366.5672163629524084,28486684.3941674010912740,4.4421468168205164,2.3744507621030067,4.3793473597690853,https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
monero,25,XMR,Monero,18326725.4370959000000000,,2559428000.7874044017815376,19952991.4325871000629736,139.6554998094071921,-1.4923300238296877,140.4072704161887995,http://moneroblocks.info/
ethereum-classic,26,ETC,Ethereum Classic,142801852.7879627300000000,210700000.0000000000000000,2189620632.7962230927490707,15439267.0530035958184578,15.3332788759222171,-0.2589432797266913,15.4615600860548481,http://gastracker.io/
cosmos,27,ATOM,Cosmos,248453201.0000000000000000,,1707266537.4645578490854865,32276408.7206426993014705,6.8715819743636865,2.7384641282884025,6.7795841413520377,https://www.mintscan.io/
internet-computer,28,ICP,Internet Computer,442207169.9080871300000000,,1444930943.8908773459018294,4556577.8219096419610569,3.2675430029576558,-0.0879660634983002,3.2592461095649219,https://www.dfinityexplorer.org/#/
filecoin,29,FIL,Filecoin,445651076.0000000000000000,,1418863793.0672216933205752,24938552.3604940643656677,3.1837997695471102,0.0588217432750543,3.1860595426592659,https://protocol.ai
bitcoin-bep2,30,BTCB,Bitcoin BEP2,53850.9314696000000000,,1395200828.4652850973717679,21791926.5106830180765147,25908.5737310394665837,0.5115121506430915,25853.1622211754253462,https://explorer.binance.org/asset/BTCB-1DE
lido-dao,31,LDO,Lido DAO,887721173.9978135000000000,1000000000.0000000000000000,1361145494.6373509836790529,352928.5265226115068044,1.5333029497398285,-0.3949729096987642,1.5327459259221301,https://etherscan.io/token/0x5a98fcbea516cf06857215779fd812ca3bef1b32
crypto-com-coin,32,CRO,Crypto.com Coin,25263013692.0000000000000000,30263013692.0000000000000000,1282605518.7260895125390124,1193896.7991655985064387,0.0507700915798597,-0.0616667254344205,0.0503870925627224,https://etherscan.io/token/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
quant,33,QNT,Quant,12072738.0000000000000000,14881364.0000000000000000,1201593037.5162504719113704,2388423.6715390321209460,99.5294553328541108,-0.0820166036775866,99.4622357369190889,https://etherscan.io/token/0x4a220e6096b25eadb88358cb44068a3248254675
vechain,34,VET,VeChain,72714516834.0000000000000000,86712634466.0000000000000000,1128998020.7215004825680572,7253865.2462627113016476,0.0155264460231358,0.1682044613938406,0.0155706177073368,https://explore.veforge.com/
maker,35,MKR,Maker,977631.0369508900000000,1005577.0000000000000000,1102471433.5071518773544938,40601252.9372818351519049,1127.6968425078070320,-3.7009231897453259,1142.2204614102861724,https://etherscan.io/token/Maker
near-protocol,36,NEAR,NEAR Protocol,941671517.0000000000000000,,1060485918.9716878803021200,4127635.5756229951980487,1.1261739362683600,-0.4184126881326756,1.1240506579022934,https://explorer.nearprotocol.com/
the-graph,37,GRT,The Graph,9175021491.0864980000000000,,798483609.1923536563422542,4754323.2734423411001153,0.0870279824377608,1.3336922794014770,0.0864168929179272,https://etherscan.io/token/0xc944e90c64b2c07662a292be6244bdf05cda44a7
aave,38,AAVE,Aave,14528664.4717330300000000,16000000.0000000000000000,796865111.3514833814538313,37418737.5379070461728115,54.8477881708855046,0.2925477694387585,54.8243642266015692,https://etherscan.io/token/0x80fB784B7eD66730e8b1DBd9820aFD29931aab03
algorand,39,ALGO,Algorand,7828353209.9569260000000000,10000000000.0000000000000000,739583948.3878562689881113,7270037.6118367020104867,0.0944750356239899,2.4502422491327933,0.0936637313049971,https://algoexplorer.io/
hedera-hashgraph,40,HBAR,Hedera Hashgraph,14832756028.0000000000000000,50000000000.0000000000000000,737868439.4527253904264236,28662914.8875912929518011,0.0497458758210437,0.0904280253649706,0.0493284682660104,https://hash-hash.info/
xinfin-network,41,XDC,XinFin Network,12293293518.5500000000000000,,720852564.6916813208912431,600276.0798847997557797,0.0586378714218406,0.2880978190089446,0.0588520825154969,https://etherscan.io/token/0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2
tezos,42,XTZ,Tezos,951218268.2990250000000000,,659248756.1003757154173249,2276215.9868149858525063,0.6930572909194110,1.3107841841937613,0.6888241566247642,https://tzkt.io/
eos,43,EOS,EOS,1101543445.9548000000000000,,652671964.1575565526716183,22445801.6382078644198139,0.5925067835992897,1.6493068285254399,0.5795743653076793,https://bloks.io/
stacks,44,STX,Stacks,1404427370.5519490000000000,1818000000.0000000000000000,640356690.9874162336846288,4497093.9386319987555286,0.4559557186184373,-1.8651342958388695,0.4590901341339191,https://explorer.xinfin.network/
the-sandbox,45,SAND,The Sandbox,2064931926.2233226000000000,3000000000.0000000000000000,631745905.9363324580427970,11012364.0758878247658238,0.3059403062704204,0.3202264698864970,0.3049062364156446,https://etherscan.io/token/0x3845badAde8e6dFF049820680d1F14bD3903a5d0
axie-infinity,46,AXS,Axie Infinity,140847525.9244541500000000,270000000.0000000000000000,630415531.7977181227749310,6128120.3624892020968907,4.4758722431223371,-0.7221520507177329,4.4990194813853333,https://etherscan.io/token/0xf5d669627376ebd411e34b98f19c868c8aba5ada
theta,47,THETA,THETA,1000000000.0000000000000000,1000000000.0000000000000000,610749090.4975148000000000,2844071.8273217815400103,0.6107490904975148,-0.5644634502988580,0.6089956078245750,https://explorer.thetatoken.org/
elrond-egld,48,EGLD,MultiversX,24184559.1898415400000000,31415926.0000000000000000,599897010.1783212230916792,2588708.9581521752769534,24.8049594565404116,-0.3423614598596644,24.7551338225393772,https://explorer.elrond.com/
bitcoin-sv,49,BSV,Bitcoin SV,19266076.6442390500000000,21000000.0000000000000000,585638732.9721768454931333,2796799.2919296634083606,30.3974049198695976,-2.1728480915503329,30.5467006020628427,https://bsvexplorer.io/
fantom,50,FTM,Fantom,2803471634.0112844000000000,3175000000.0000000000000000,566000703.8358938589582647,8636691.9027263405819016,0.2018927878453489,-0.3637233773863443,0.2022529340394535,https://etherscan.io/token/0x4e15361fd6b4bb609fa63c81a2be19d873717870
decentraland,51,MANA,Decentraland,1893095370.6427295000000000,,554944833.1008693373585464,3715900.4953465772530173,0.2931415087199007,0.0264956726103087,0.2919677496849178,https://etherscan.io/token/decentraland
thorchain,52,RUNE,THORChain,339031775.0000000000000000,500000000.0000000000000000,523598178.3262600343306475,11885901.1419169058443180,1.5443926408557429,-2.8785489888856620,1.5705634725868736,https://explorer.binance.org/asset/RUNE-B1A
neo,53,NEO,Neo,70538831.0000000000000000,100000000.0000000000000000,500374778.5061837441581710,7925648.7446774623784218,7.0936074699931410,2.1241511273386916,6.9892376443411708,https://neotracker.io
render-token,54,RNDR,Render Token,369614008.1087959400000000,536870912.0000000000000000,497949522.5766899825212711,1005079.3448007392239861,1.3472149638606729,0.8477148596905892,1.3370363731200496,https://etherscan.io/token/0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24
injective-protocol,55,INJ,Injective,73005554.3300000000000000,100000000.0000000000000000,495189896.9151883208242153,4143377.3733525835227766,6.7829071563079839,-1.2151087192401008,6.8009503621254708,https://etherscan.io/token/0xe28b3b32b6c345a34ff64674606124dd5aceca30
paxos-standard,56,USDP,Pax Dollar,488345990.5506834400000000,,489624848.2966534730860962,1637410.7696451063561277,1.0026187534467682,0.2246268711049839,,https://etherscan.io/token/0x8e870d67f660d95d5be530380d0ec0bd388289e1
kava,57,KAVA,Kava,738540262.0000000000000000,,487076224.3980514793332070,5707474.9158681779871455,0.6595120800577985,-0.4414027417659854,0.6515889831925921,https://www.mintscan.io/kava
synthetix-network-token,58,SNX,Synthetix,233716733.4900000000000000,212424133.0000000000000000,469456206.9502509738425099,9342775.4652518276807351,2.0086546647304461,4.2347692226224325,1.9636695998740429,https://etherscan.io/token/0xc011a72400e58ecd99ee497cf89e3775d4bd732f
iota,59,MIOTA,IOTA,2779530283.0000000000000000,2779530283.0000000000000000,461713473.7852327889044255,3670368.3189229725071352,0.1661120501579485,2.5583658292797539,0.1658150373225321,https://thetangle.org/
ecash,60,XEC,eCash,19487935923093.0000000000000000,21000000000000.0000000000000000,452931699.5881151738556798,2672999.7648893066132488,0.0000232416455686,0.9773732780407342,0.0000230657179392,https://explorer.bitcoinabc.org/
chiliz,61,CHZ,Chiliz,7401879904.8224830000000000,8888888888.0000000000000000,444475092.0279495909439255,11370738.2368987717355401,0.0600489467193820,0.4081542411522111,0.0597760779008729,https://etherscan.io/token/0x3506424f91fd33084466f402d5d97f05f8e3b4af
flow,62,FLOW,Flow,1036200000.0000000000000000,,443784597.5849591626200000,8269292.9833182985320724,0.4282808314851951,0.7039744583186114,0.4277291509099494,https://flowscan.org/
klaytn,63,KLAY,Klaytn,3189959144.0609000000000000,,425269751.6798513859239758,1099686.7107064146385777,0.1333151092143682,-0.6610182056239124,0.1337922621538432,https://scope.klaytn.com/blocks
zcash,64,ZEC,Zcash,16328268.7500000000000000,21000000.0000000000000000,414096536.0011220891387044,25600503.5235878868110398,25.3607129047972149,0.7321262491221690,24.6357480429245379,https://explorer.zcha.in/
gala,65,GALA,Gala,23385111911.0230940000000000,50000000000.0000000000000000,412374839.1831653736101613,21402286.8358835776560017,0.0176340759348166,-5.0887688883252639,0.0184048161769078,https://ethplorer.io/es/address/0x15d4c048f83bd7e37d49ea4c83a07267ec4203da#chart=candlestick
frax-share,66,FXS,Frax Share,73371476.2120067900000000,,411351680.6368807416050074,245317.2542019148975028,5.6064250288256511,-1.5536257913434662,5.6668436944554489,https://etherscan.io/token/0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0
casper,67,CSPR,Casper,11292395548.0000000000000000,,405152457.5863204490538936,732959.2332913223840482,0.0358783444898082,1.8006742805567124,0.0358413024142026,https://casperstats.io/
fei-protocol,68,FEI,Fei Protocol,424996177.7889055600000000,,391708359.4804896898342247,1048593.6770185848752001,0.9216750172163905,-0.8121727382750176,0.9439326958464410,https://etherscan.io/token/0x956F47F50A910163D8BF957Cf5846D573E7f87CA
conflux-network,69,CFX,Conflux,3172155460.3297020000000000,,388338146.1234573495406766,7642295.5266917332857183,0.1224209062197396,-1.8467045690917137,0.1241291823329222,http://www.confluxscan.io/
kucoin-token,70,KCS,KuCoin Token,96732986.4258510000000000,170118638.0000000000000000,385109696.2933176661236830,528359.8796998970205609,3.9811620681071069,2.2545361607529945,3.9242686947083739,https://etherscan.io/token/0xf34960d9d60be18cc1d5afc1a6f012a723a28811
huobi-token,71,HT,Huobi Token,162233844.0000000000000000,500000000.0000000000000000,382574577.8620559790820680,13179263.5345509413145511,2.3581674971718970,-0.2762932661527728,2.3610435349340065,https://etherscan.io/token/0x6f259637dcd74c767781e37bc6133cd6a68aa161
curve-dao-token,72,CRV,Curve DAO Token,870665427.0000000000000000,3303030299.0000000000000000,382323100.0822202421358101,3841945.0783538606454361,0.4391159775340663,0.1295029198032218,0.4374739680946315,https://etherscan.io/token/0xD533a949740bb3306d119CC777fa900bA034cd52
gatetoken,73,GT,GateToken,96041908.6962726100000000,,374500098.5176923717053390,315513.3594211739551032,3.8993404400367434,0.0561164718787425,3.8956752839949300,
mina,74,MINA,Mina,961479140.8400393000000000,,358970518.5746201876051341,1808703.9008024513187957,0.3733523727420540,-0.4664635226169473,0.3737422419725780,https://minaexplorer.com/
ftx-token,75,FTT,FTX Token,328895103.8132070000000000,352170015.0000000000000000,340375811.4193739585061053,4215416.6353414331785459,1.0349068972844525,2.6269599526378039,1.0319412677474587,https://etherscan.io/token/0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9
trust-wallet-token,76,TWT,Trust Wallet Token,416649900.0000000000000000,1000000000.0000000000000000,338561846.1821943914498400,795889.3092200223563316,0.8125811291019016,0.8044750155023400,0.8094521018043855,https://explorer.binance.org/asset/TWT-8C2
dydx,77,DYDX,dYdX,156256174.0000000000000000,1000000000.0000000000000000,321875020.1907519088159920,29324868.9612262560632389,2.0599187344159080,-1.3423819002040373,2.0453812971642188,
