id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
bitcoin,1,BTC,Bitcoin,19475043.0000000000000000,21000000.0000000000000000,505668012608.9324061504898107,1712080810.9842258365786049,25964.9240625005247049,0.4748806723875788,25935.5871753351097329,https://blockchain.info/
ethereum,2,ETH,Ethereum,120216736.7246998400000000,,196847627745.5324032208634607,723484003.0707714667299289,1637.4394540114638688,0.1808738331832856,1638.2711305364233395,https://etherscan.io/
tether,3,USDT,Tether,82900167311.5606500000000000,,83073759211.2781751028546752,3956473719.7224581659211301,1.0020939873265288,0.1519532172383327,1.0009716324939601,https://www.omniexplorer.info/asset/31
binance-coin,4,BNB,BNB,166801148.0000000000000000,166801148.0000000000000000,35792515155.7198973697417280,78670682.8229633211005886,214.5819473359973360,-0.0151896928482882,214.6048767685265990,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52
usd-coin,5,USDC,USD Coin,26181449371.2181050000000000,,26236747006.2436114370262092,181188045.1028459536216446,1.0021120922009114,0.1291019550906541,1.0014528503706558,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
xrp,6,XRP,XRP,45404028640.0000000000000000,100000000000.0000000000000000,22829347688.7693751748029760,228891101.4881690218954485,0.5028044508952934,1.2593533289270413,0.5002255966569264,https://xrpcharts.ripple.com/#/graph/
cardano,7,ADA,Cardano,35077964061.0560000000000000,45000000000.0000000000000000,8962234073.0548276502273178,38735571.5052157820544948,0.2554947048082763,0.0856986210501566,0.2559010309128634,https://cardanoexplorer.com/
dogecoin,8,DOGE,Dogecoin,140853086383.7052600000000000,,8931879018.5744891466877088,84709778.0327852094690632,0.0634127320024972,-0.0058217834897559,0.0636827958011591,http://dogechain.info/chain/Dogecoin
solana,9,SOL,Solana,408701721.4819896000000000,,7941045044.0897295968587143,36099561.2362820477670685,19.4299280543638972,-0.8230466758975297,19.4948170662968508,https://explorer.solana.com/
tron,10,TRX,TRON,89307600460.1536900000000000,,6871023004.5128383522501694,29297892.7939909924034459,0.0769365985549962,0.5453558073693977,0.0770759289212051,https://tronscan.org/#/
polkadot,11,DOT,Polkadot,1270952817.1806300000000000,,5446962318.3982566899099011,27037790.9201417132273013,4.2857313385412049,0.7435058220505432,4.2622438365492518,https://polkascan.io/polkadot
multi-collateral-dai,12,DAI,Multi Collateral DAI,5347888595.7464075000000000,,5355033574.6450215470273726,5640278.7284924843228458,1.0013360373483279,0.0937956054984778,1.0006402227062550,https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
